indice_tiempo,consultas_total,consultas_dispositivos_moviles,consultas_dispositivos_no_moviles,usuarios_total,consultas_acumuladas_total
2021-04-26,17072,6687,10385,2382,17902825
2021-04-27,39345,10656,28689,0,17942170
2021-04-28,33388,10694,22694,0,17975558
2021-04-29,30299,8140,22159,0,18005857
2021-04-30,28390,8050,20340,0,18034247
2021-05-01,27903,5133,22770,0,18062150
2021-05-02,22683,6051,16632,0,18084833
2021-05-03,42484,11405,31079,0,18127317
2021-05-04,38222,11550,26672,0,18165539
2021-05-05,34803,9200,25603,0,18200342
2021-05-06,29647,8431,21216,0,18229989
2021-05-07,22335,7123,15212,0,18252324
2021-05-08,16379,4869,11510,0,18268703
2021-05-09,23515,9596,13919,0,18292218
2021-05-10,29770,8637,21133,0,18321988
2021-05-11,29568,8604,20964,0,18351556
2021-05-12,28292,7934,20358,0,18379848
2021-05-13,36698,8343,28355,0,18416546
2021-05-14,29104,7658,21446,0,18445650
2021-05-15,15689,4998,10691,0,18461339
2021-05-16,15956,4903,11053,0,18477295
2021-05-17,31773,10836,20937,0,18509068
2021-05-18,42841,12297,30544,0,18551909
2021-05-19,49833,11022,38811,0,18601742
2021-05-20,33996,8980,25016,0,18635738
2021-05-21,25498,7882,17616,0,18661236
2021-05-22,17466,4439,13027,0,18678702
2021-05-23,18864,5351,13513,0,18697566
2021-05-24,19755,5284,14471,0,18717321
2021-05-25,22108,5223,16885,0,18739429
2021-05-26,33447,8733,24714,0,18772876
2021-05-27,28112,8606,19506,0,18800988
2021-05-28,29384,8358,21026,0,18830372
2021-05-29,20799,5141,15658,0,18851171
2021-05-30,29532,5561,23971,0,18880703
2021-05-31,32700,7770,24930,0,18913403
2021-06-01,30028,8416,21612,0,18943431
2021-06-02,26008,7942,18066,0,18969439
2021-06-03,32531,10986,21545,0,19001970
2021-06-04,28395,8539,19856,0,19030365
2021-06-05,29506,5022,24484,0,19059871
2021-06-06,26075,5194,20881,0,19085946
2021-06-07,37825,7817,30008,0,19123771
2021-06-08,30660,8290,22370,0,19154431
2021-06-09,28108,7846,20262,0,19182539
2021-06-10,32815,8482,24333,0,19215354
2021-06-11,25252,7976,17276,0,19240606
2021-06-12,22120,5672,16448,0,19262726
2021-06-13,23466,6178,17288,0,19286192
2021-06-14,38167,9255,28912,0,19324359
2021-06-15,32038,8796,23242,0,19356397
2021-06-16,34362,7773,26589,0,19390759
2021-06-17,27085,9167,17918,0,19417844
2021-06-18,27216,7536,19680,0,19445060
2021-06-19,17038,5337,11701,0,19462098
2021-06-20,14544,4251,10293,0,19476642
2021-06-21,26354,7373,18981,0,19502996
2021-06-22,28165,8316,19849,0,19531161
2021-06-23,31567,8200,23367,0,19562728
2021-06-24,39425,8247,31178,0,19602153
2021-06-25,49658,10759,38899,0,19651811
2021-06-26,27018,5850,21168,0,19678829
2021-06-27,20078,5469,14609,0,19698907
2021-06-28,34320,9977,24343,0,19733227
2021-06-29,29398,7663,21735,0,19762625
2021-06-30,30317,8820,21497,0,19792942
2021-07-01,27425,8101,19324,0,19820367
2021-07-02,25056,7398,17658,0,19845423
2021-07-03,15277,3723,11554,0,19860700
2021-07-04,17111,6151,10960,0,19877811
2021-07-05,32911,12796,20115,0,19910722
2021-07-06,26396,8478,17918,0,19937118
2021-07-07,24533,7458,17075,0,19961651
2021-07-08,23391,6727,16664,0,19985042
2021-07-09,16254,5140,11114,0,20001296
2021-07-10,11578,3466,8112,0,20012874
2021-07-11,13796,4135,9661,0,20026670
2021-07-12,25765,8961,16804,0,20052435
2021-07-13,21921,7156,14765,0,20074356
2021-07-14,24621,7987,16634,0,20098977
2021-07-15,25615,7722,17893,0,20124592
2021-07-16,28448,11337,17111,0,20153040
2021-07-17,14061,4613,9448,0,20167101
2021-07-18,11882,4181,7701,0,20178983
2021-07-19,24130,9304,14826,0,20203113
2021-07-20,22248,8153,14095,0,20225361
2021-07-21,23954,8089,15865,0,20249315
2021-07-22,27061,8360,18701,0,20276376
2021-07-23,24453,8089,16364,0,20300829
2021-07-24,17928,4548,13380,0,20318757
2021-07-25,19428,4234,15194,0,20338185
2021-07-26,24411,7665,16746,0,20362596
2021-07-27,23546,6663,16883,0,20386142
2021-07-28,22848,7384,15464,0,20408990
2021-07-29,23952,7354,16598,0,20432942
2021-07-30,26320,6692,19628,0,20459262
2021-07-31,13786,4354,9432,0,20473048
2021-08-01,18763,6793,11970,0,20491811
2021-08-02,32702,6906,25796,0,20524513
2021-08-03,35575,6762,28813,0,20560088
2021-08-04,29472,6541,22931,0,20589560
2021-08-05,22654,7409,15245,0,20612214
2021-08-06,32416,7125,25291,0,20644630
2021-08-07,12661,4135,8526,0,20657291
2021-08-08,16862,3871,12991,0,20674153
2021-08-09,26747,7409,19338,0,20700900
2021-08-10,23711,6243,17468,0,20724611
2021-08-11,25484,7595,17889,0,20750095
2021-08-12,22442,6988,15454,0,20772537
2021-08-13,25069,9201,15868,0,20797606
2021-08-14,15334,5051,10283,0,20812940
2021-08-15,14861,4766,10095,0,20827801
2021-08-16,19903,5983,13920,0,20847704
2021-08-17,25722,8669,17053,0,20873426
2021-08-18,25223,7747,17476,0,20898649
2021-08-19,26823,8004,18819,0,20925472
2021-08-20,26871,7227,19644,0,20952343
2021-08-21,17104,5594,11510,0,20969447
2021-08-22,16855,5026,11829,0,20986302
2021-08-23,30860,8472,22388,0,21017162
2021-08-24,29102,8409,20693,0,21046264
2021-08-25,27590,7669,19921,0,21073854
2021-08-26,24611,8157,16454,0,21098465
2021-08-27,22416,7268,15148,0,21120881
2021-08-28,16831,5126,11705,0,21138508
2021-08-29,0,0,0,0,21157386
2021-08-30,0,0,0,0,21187620
2021-08-31,0,0,0,0,21217291
2021-09-01,0,0,0,0,21246826
2021-09-02,0,0,0,0,21277872
2021-09-03,0,0,0,0,21306894
2021-09-04,16577,5537,11040,0,21323471
2021-09-05,16046,4102,11944,4,21339517
2021-09-06,29684,6488,23196,3,21369201
2021-09-07,20030,4842,15188,0,21389231
2021-09-08,0,0,0,0,21389231
2021-09-09,0,0,0,0,21389231
2021-09-10,0,0,0,0,21389231
2021-09-11,0,0,0,0,21389231
2021-09-12,0,0,0,0,21389231
2021-09-13,0,0,0,0,21389231
2021-09-14,0,0,0,0,21389231
2021-09-15,0,0,0,0,21389231
2021-09-16,0,0,0,0,21389231
2021-09-17,26189,7678,18511,0,21415420
2021-09-18,19149,4508,14641,0,21434569
2021-09-19,20950,4722,16228,0,21455519
2021-09-20,40746,9493,31253,3569,21496265
2021-09-21,30415,7268,23147,3205,21526680
2021-09-22,39709,7811,31898,3323,21566389
2021-09-23,30066,6950,23116,3149,21596455
2021-09-24,39998,7765,32233,3102,21636453
2021-09-25,18403,3886,14517,1399,21654856
2021-09-26,19474,3931,15543,1379,21674330
2021-09-27,33979,9229,24750,3461,21708309
2021-09-28,28927,8145,20782,3573,21737236
2021-09-29,31926,7985,23941,3380,21769162
2021-09-30,36918,9383,27535,3385,21806080
2021-10-01,35347,7712,27635,2982,21841427
2021-10-02,27151,4893,22258,1449,21868578
2021-10-03,24906,4415,20491,1268,21893484
2021-10-04,31587,8179,23408,3309,21925071
2021-10-05,33444,7667,25777,3166,21958515
2021-10-06,28299,7870,20429,3327,21986814
2021-10-07,25613,6606,19007,2772,22012427
2021-10-08,15938,4262,11676,1621,22028365
2021-10-09,23201,6087,17114,1197,22051566
2021-10-10,16436,6502,9934,1075,22068002
2021-10-11,20535,5887,14648,1737,22088537
2021-10-12,27667,8351,19316,2982,22116204
2021-10-13,88726,8531,80195,3075,22204930
2021-10-14,32236,10567,21669,2986,22237166
2021-10-15,29840,8735,21105,2790,22267006
2021-10-16,31183,5579,25604,1449,22298189
2021-10-17,24712,4850,19862,1222,22322901
2021-10-18,31855,8775,23080,3058,22354756
2021-10-19,32751,7528,25223,3133,22387507
2021-10-20,40335,9787,30548,3347,22427842
2021-10-21,32056,9088,22968,3657,22459898
2021-10-22,31364,9201,22163,3721,22491262
2021-10-23,21670,4697,16973,1547,22512932
2021-10-24,21328,5621,15707,1416,22534260
2021-10-25,34436,9443,24993,3672,22568696
2021-10-26,35745,9150,26595,3677,22604441
2021-10-27,27014,8450,18564,3499,22631455
2021-10-28,33156,8500,24656,3604,22664611
2021-10-29,26517,8179,18338,3481,22691128
2021-10-30,19831,4336,15495,1569,22710959
2021-10-31,19867,5580,14287,1471,22730826
2021-11-01,32283,10161,22122,3854,22763109
2021-11-02,36848,9991,26857,3861,22799957
2021-11-03,32965,9337,23628,3670,22832922
2021-11-04,34940,9832,25108,3903,22867862
2021-11-05,30939,7613,23326,3166,22898801
2021-11-06,17162,4275,12887,1504,22915963
2021-11-07,23581,4440,19141,1591,22939544
2021-11-08,42640,14994,27646,4128,22982184
2021-11-09,47382,18359,29023,4626,23029566
2021-11-10,42007,15176,26831,4359,23071573
2021-11-11,40160,14143,26017,4408,23111733
2021-11-12,31213,10610,20603,3625,23142946
2021-11-13,23305,6790,16515,1851,23166251
2021-11-14,22115,6112,16003,1693,23188366
2021-11-15,38486,13404,25082,4325,23226852
2021-11-16,36294,13130,23164,4187,23263146
2021-11-17,36564,12159,24405,4007,23299710
2021-11-18,28645,10700,17945,3555,23328355
2021-11-19,27855,9132,18723,3263,23356210
2021-11-20,19706,5057,14649,1480,23375916
2021-11-21,22567,4503,18064,1339,23398483
2021-11-22,27636,7944,19692,2165,23426119
2021-11-23,30798,10331,20467,3610,23456917
2021-11-24,35367,10817,24550,3425,23492284
2021-11-25,32958,9203,23755,3242,23525242
2021-11-26,34792,8306,26486,3318,23560034
2021-11-27,38640,4146,34494,1473,23598674
2021-11-28,28467,5184,23283,1604,23627141
2021-11-29,29536,8805,20731,3434,23656677
2021-11-30,30325,9729,20596,3293,23687002
2021-12-01,28326,8828,19498,3235,23715328
2021-12-02,27278,8518,18760,3209,23742606
2021-12-03,25991,8517,17474,3152,23768597
2021-12-04,17193,4759,12434,1597,23785790
2021-12-05,19603,4377,15226,1421,23805393
2021-12-06,30502,8281,22221,3087,23835895
2021-12-07,24579,7499,17080,2825,23860474
2021-12-08,20416,6277,14139,1935,23880890
2021-12-09,31668,10494,21174,2846,23912558
2021-12-10,25532,8288,17244,2705,23938090
2021-12-11,24938,6890,18048,1403,23963028
2021-12-12,16240,4710,11530,1347,23979268
2021-12-13,28246,7970,20276,2968,24007514
2021-12-14,24973,6555,18418,2877,24032487
2021-12-15,28253,8121,20132,2936,24060740
2021-12-16,31452,9020,22432,2755,24092192
2021-12-17,27013,8614,18399,2554,24119205
2021-12-18,14351,5026,9325,1231,24133556
2021-12-19,16804,3452,13352,1120,24150360
2021-12-20,27932,9110,18822,2673,24178292
2021-12-21,19885,5737,14148,2563,24198177
2021-12-22,20318,5483,14835,2480,24218495
2021-12-23,20130,7133,12997,2452,24238625
2021-12-24,24459,7969,16490,1271,24263084
2021-12-25,17379,4691,12688,997,24280463
2021-12-26,14672,4029,10643,998,24295135
2021-12-27,22455,6752,15703,2600,24317590
2021-12-28,24707,8080,16627,2760,24342297
2021-12-29,21770,6155,15615,2783,24364067
2021-12-30,27713,7973,19740,2790,24391780
2021-12-31,27818,8532,19286,1387,24419598
2022-01-01,16557,5125,11432,1094,24436155
2022-01-02,24821,5510,19311,1217,24460976
2022-01-03,27463,9407,18056,2793,24488439
2022-01-04,20271,5603,14668,2589,24508710
2022-01-05,22192,6519,15673,2590,24530902
2022-01-06,22806,6540,16266,2697,24553708
2022-01-07,27004,7783,19221,2460,24580712
2022-01-08,18603,5856,12747,1284,24599315
2022-01-09,18249,6037,12212,1189,24617564
2022-01-10,28762,9226,19536,2740,24646326
2022-01-11,28186,9437,18749,2584,24674512
2022-01-12,22631,7209,15422,3060,24697143
2022-01-13,20500,6362,14138,2726,24717643
2022-01-14,25811,9008,16803,2548,24743454
2022-01-15,16410,4383,12027,1082,24759864
2022-01-16,14818,3421,11397,1093,24774682
2022-01-17,24169,5505,18664,2442,24798851
2022-01-18,25294,7038,18256,2785,24824145
2022-01-19,41520,8485,33035,2947,24865665
2022-01-20,37797,8412,29385,3209,24903462
2022-01-21,26297,11030,15267,3234,24929759
2022-01-22,15689,7283,8406,1507,24945448
2022-01-23,14639,6356,8283,1280,24960087
2022-01-24,23377,9276,14101,3413,24983464
2022-01-25,21785,8393,13392,3222,25005249
2022-01-26,23256,9044,14212,3187,25028505
2022-01-27,25172,10513,14659,3200,25053677
2022-01-28,32960,13338,19622,3689,25086637
2022-01-29,25536,11095,14441,1382,25112173
2022-01-30,22633,10233,12400,1221,25134806
2022-01-31,33772,14208,19564,3296,25168578
2022-02-01,23766,9652,14114,3314,25192344
2022-02-02,24045,8933,15112,3156,25216389
2022-02-03,35867,13985,21882,3114,25252256
2022-02-04,21093,6793,14300,2704,25273349
2022-02-05,13953,4798,9155,1295,25287302
2022-02-06,13775,3424,10351,1171,25301077
2022-02-07,29153,10695,18458,2814,25330230
2022-02-08,21847,5981,15866,2727,25352077
2022-02-09,20069,6103,13966,2804,25372146
2022-02-10,19057,6736,12321,2666,25391203
2022-02-11,18108,6282,11826,2664,25409311
2022-02-12,11421,4537,6884,1180,25420732
2022-02-13,12006,4530,7476,1102,25432738
2022-02-14,21812,7391,14421,2782,25454550
2022-02-15,23576,8329,15247,2868,25478126
2022-02-16,23526,7642,15884,2783,25501652
2022-02-17,35823,8468,27355,2661,25537475
2022-02-18,23112,6014,17098,2843,25560587
2022-02-19,10846,3819,7027,1490,25571433
2022-02-20,12189,4010,8179,1466,25583622
2022-02-21,34075,6214,27861,2909,25617697
2022-02-22,33116,7242,25874,3207,25650813
2022-02-23,38584,7776,30808,3072,25689397
2022-02-24,32833,13698,19135,4046,25722230
2022-02-25,32995,14450,18545,3791,25755225
2022-02-26,19726,9286,10440,2033,25774951
2022-02-27,17241,7295,9946,1993,25792192
2022-02-28,22368,6195,16173,2298,25814560
2022-03-01,18914,6299,12615,2307,25833474
2022-03-02,29430,8389,21041,3650,25862904
2022-03-03,25896,8149,17747,3472,25888800
2022-03-04,23116,7575,15541,3342,25911916
2022-03-05,17826,5573,12253,1587,25929742
2022-03-06,12126,5638,6488,1453,25941868
2022-03-07,26692,9909,16783,3450,25968560
2022-03-08,39467,20923,18544,4881,26008027
2022-03-09,31667,13976,17691,4406,26039699
2022-03-10,24697,8599,16098,3574,26064407
2022-03-11,24561,8606,15955,3393,26088977
2022-03-12,12648,4656,7992,1478,26101629
2022-03-13,12306,4919,7387,1502,26113943
2022-03-14,26613,9335,17278,3400,26140578
2022-03-15,26906,9331,17575,3545,26167507
2022-03-16,29021,11179,17842,3676,26196546
2022-03-17,22445,6930,15515,3270,26219009
2022-03-18,35776,12833,22943,3142,26254805
2022-03-19,18623,5999,12624,1488,26273437
2022-03-20,16192,4139,12053,1457,26289638
2022-03-21,37659,9665,27994,3339,26327311
2022-03-22,51657,14854,36803,3466,26378993
2022-03-23,38162,8931,29231,3317,26417178
2022-03-24,28730,9272,19458,2361,26445932
2022-03-25,28966,9867,19099,3107,26474917
2022-03-26,15186,5903,9283,1511,26490108
2022-03-27,16410,5576,10834,1636,26506525
2022-03-28,29180,9564,19616,3402,26535721
2022-03-29,37058,8316,28742,3418,26572795
2022-03-30,30573,9617,20956,3283,26603386
2022-03-31,32466,9724,22742,3063,26635868
2022-04-01,32247,8332,23915,2959,26668128
2022-04-02,15796,5785,10011,1554,26683926
2022-04-03,16208,5062,11146,1639,26700140
2022-04-04,29580,7926,21654,3379,26729740
2022-04-05,35810,7703,28107,3471,26765577
2022-04-06,28405,7051,21354,3250,26793998
2022-04-07,33335,9484,23851,3206,26827352
2022-04-08,26908,7171,19737,2903,26854260
2022-04-09,17055,6701,10354,1527,26871315
2022-04-10,15778,5752,10026,1607,26887093
2022-04-11,35254,7991,27263,3306,26922347
2022-04-12,34374,9163,25211,3411,26956721
2022-04-13,26488,8718,17770,3397,26983209
2022-04-14,26433,8799,17634,2444,27009642
2022-04-15,51698,7853,43845,1748,27061340
2022-04-16,23833,4429,19404,1454,27085173
2022-04-17,15445,3968,11477,1515,27100618
2022-04-18,26729,6424,20305,3295,27127347
2022-04-19,31170,7682,23488,3532,27158517
2022-04-20,28238,7868,20370,3485,27186755
2022-04-21,30736,9611,21125,3774,27217491
2022-04-22,27601,8530,19071,3516,27245092
2022-04-23,17167,5246,11921,1739,27262259
2022-04-24,27306,10592,16714,1790,27289565
2022-04-25,30588,9309,21279,3785,27320153
2022-04-26,29658,9186,20472,3963,27349811
2022-04-27,29496,9129,20367,3652,27379307
2022-04-28,31342,9426,21916,3555,27410649
2022-04-29,36488,10456,26032,3263,27447137
2022-04-30,24198,6287,17911,1687,27471335
2022-05-01,36515,9341,27174,1798,27507850
2022-05-02,39638,11412,28226,3718,27547488
2022-05-03,29651,10530,19121,3644,27577139
2022-05-04,26951,8278,18673,3574,27604090
2022-05-05,35895,13191,22704,3573,27639985
2022-05-06,37648,12659,24989,3337,27677633
2022-05-07,25410,9750,15660,1867,27703043
2022-05-08,29980,11522,18458,1829,27733023
2022-05-09,36035,12714,23321,4061,27769058
2022-05-10,37447,9467,27980,4251,27806505
2022-05-11,39587,12562,27025,4141,27846092
2022-05-12,29436,8377,21059,4488,27875528
2022-05-13,39523,9328,30195,4019,27915051
2022-05-14,21653,5942,15711,2150,27936704
2022-05-15,26355,5788,20567,2423,27963059
2022-05-16,37916,9104,28812,4222,28000975
2022-05-17,22495,5603,16892,3042,28023470
2022-05-18,0,0,0,0,28023470
2022-05-19,0,0,0,0,28023470
2022-05-20,0,0,0,0,28023470
2022-05-21,0,0,0,0,28023470
2022-05-22,0,0,0,0,28023470
2022-05-23,0,0,0,0,28023470
2022-05-24,0,0,0,0,28023470
2022-05-25,0,0,0,0,28023470
2022-05-26,0,0,0,0,28023470
2022-05-27,0,0,0,0,28023470
2022-05-28,0,0,0,0,28023470
2022-05-29,0,0,0,0,28023470
2022-05-30,0,0,0,0,28023470
2022-05-31,0,0,0,0,28023470
2022-06-01,0,0,0,0,28023470
2022-06-02,0,0,0,0,28023470
2022-06-03,0,0,0,0,28023470
2022-06-04,0,0,0,0,28023470
2022-06-05,0,0,0,0,28023470
2022-06-06,0,0,0,0,28023470
2022-06-07,0,0,0,0,28023470
2022-06-08,0,0,0,0,28023470
2022-06-09,0,0,0,0,28023470
2022-06-10,0,0,0,0,28023470
2022-06-11,0,0,0,0,28023470
2022-06-12,0,0,0,0,28023470
2022-06-13,0,0,0,0,28023470
2022-06-14,0,0,0,0,28023470
2022-06-15,0,0,0,0,28023470
2022-06-16,0,0,0,0,28023470
2022-06-17,0,0,0,0,28023470
2022-06-18,0,0,0,0,28023470
2022-06-19,0,0,0,0,28023470
2022-06-20,0,0,0,0,28023470
2022-06-21,0,0,0,0,28023470
2022-06-22,0,0,0,0,28023470
2022-06-23,0,0,0,0,28023470
2022-06-24,0,0,0,0,28023470
2022-06-25,0,0,0,0,28023470
2022-06-26,0,0,0,0,28023470
2022-06-27,0,0,0,0,28023470
2022-06-28,0,0,0,0,28023470
2022-06-29,0,0,0,0,28023470
2022-06-30,0,0,0,0,28023470
2022-07-01,0,0,0,0,28023470
2022-07-02,0,0,0,0,28023470
2022-07-03,0,0,0,0,28023470
2022-07-04,0,0,0,0,28023470
2022-07-05,0,0,0,0,28023470
2022-07-06,0,0,0,0,28023470
2022-07-07,0,0,0,0,28023470
2022-07-08,0,0,0,0,28023470
2022-07-09,0,0,0,0,28023470
2022-07-10,0,0,0,0,28023470
2022-07-11,0,0,0,0,28023470
2022-07-12,0,0,0,0,28023470
2022-07-13,0,0,0,0,28023470
2022-07-14,0,0,0,0,28023470
2022-07-15,0,0,0,0,28023470
2022-07-16,0,0,0,0,28023470
2022-07-17,0,0,0,0,28023470
2022-07-18,0,0,0,0,28023470
2022-07-19,0,0,0,0,28023470
2022-07-20,0,0,0,0,28023470
2022-07-21,0,0,0,0,28023470
2022-07-22,0,0,0,0,28023470
2022-07-23,0,0,0,0,28023470
2022-07-24,0,0,0,0,28023470
2022-07-25,0,0,0,0,28023470
2022-07-26,0,0,0,0,28023470
2022-07-27,0,0,0,0,28023470
2022-07-28,0,0,0,0,28023470
2022-07-29,0,0,0,0,28023470
2022-07-30,0,0,0,0,28023470
2022-07-31,0,0,0,0,28023470
2022-08-01,0,0,0,0,28023470
2022-08-02,0,0,0,0,28023470
2022-08-03,0,0,0,0,28023470
2022-08-04,0,0,0,0,28023470
2022-08-05,0,0,0,0,28023470
2022-08-06,0,0,0,0,28023470
2022-08-07,0,0,0,0,28023470
2022-08-08,0,0,0,0,28023470
2022-08-09,0,0,0,0,28023470
2022-08-10,0,0,0,0,28023470
2022-08-11,0,0,0,0,28023470
2022-08-12,0,0,0,0,28023470
2022-08-13,0,0,0,0,28023470
2022-08-14,0,0,0,0,28023470
2022-08-15,0,0,0,0,28023470
2022-08-16,0,0,0,0,28023470
2022-08-17,0,0,0,0,28023470
2022-08-18,0,0,0,0,28023470
2022-08-19,0,0,0,0,28023470
2022-08-20,0,0,0,0,28023470
2022-08-21,0,0,0,0,28023470
2022-08-22,0,0,0,0,28023470
2022-08-23,0,0,0,0,28023470
2022-08-24,0,0,0,0,28023470
2022-08-25,0,0,0,0,28023470
2022-08-26,0,0,0,0,28023470
2022-08-27,0,0,0,0,28023470
2022-08-28,0,0,0,0,28023470
2022-08-29,0,0,0,0,28023470
2022-08-30,0,0,0,0,28023470
2022-08-31,0,0,0,0,28023470
2022-09-01,0,0,0,0,28023470
2022-09-02,0,0,0,0,28023470
2022-09-03,0,0,0,0,28023470
2022-09-04,0,0,0,0,28023470
2022-09-05,0,0,0,0,28023470
2022-09-06,0,0,0,0,28023470
2022-09-07,0,0,0,0,28023470
2022-09-08,0,0,0,0,28023470
2022-09-09,0,0,0,0,28023470
2022-09-10,0,0,0,0,28023470
2022-09-11,0,0,0,0,28023470
2022-09-12,0,0,0,0,28023470
2022-09-13,0,0,0,0,28023470
2022-09-14,0,0,0,0,28023470
2022-09-15,0,0,0,0,28023470
2022-09-16,0,0,0,0,28023470
2022-09-17,0,0,0,0,28023470
2022-09-18,0,0,0,0,28023470
2022-09-19,0,0,0,0,28023470
2022-09-20,0,0,0,0,28023470
2022-09-21,0,0,0,0,28023470
2022-09-22,0,0,0,0,28023470
2022-09-23,0,0,0,0,28023470
2022-09-24,0,0,0,0,28023470
2022-09-25,0,0,0,0,28023470
2022-09-26,0,0,0,0,28023470
2022-09-27,0,0,0,0,28023470
2022-09-28,0,0,0,0,28023470
2022-09-29,0,0,0,0,28023470
2022-09-30,0,0,0,0,28023470
2022-10-01,0,0,0,0,28023470
2022-10-02,0,0,0,0,28023470
2022-10-03,0,0,0,0,28023470
2022-10-04,0,0,0,0,28023470
2022-10-05,0,0,0,0,28023470
2022-10-06,0,0,0,0,28023470
2022-10-07,0,0,0,0,28023470
2022-10-08,0,0,0,0,28023470
2022-10-09,0,0,0,0,28023470
2022-10-10,0,0,0,0,28023470
2022-10-11,0,0,0,0,28023470
2022-10-12,0,0,0,0,28023470
2022-10-13,0,0,0,0,28023470
2022-10-14,0,0,0,0,28023470
2022-10-15,0,0,0,0,28023470
2022-10-16,0,0,0,0,28023470
2022-10-17,0,0,0,0,28023470
2022-10-18,0,0,0,0,28023470
2022-10-19,0,0,0,0,28023470
2022-10-20,0,0,0,0,28023470
2022-10-21,0,0,0,0,28023470
2022-10-22,0,0,0,0,28023470
2022-10-23,0,0,0,0,28023470
2022-10-24,0,0,0,0,28023470
2022-10-25,0,0,0,0,28023470
2022-10-26,0,0,0,0,28023470
2022-10-27,0,0,0,0,28023470
2022-10-28,0,0,0,0,28023470
2022-10-29,0,0,0,0,28023470
2022-10-30,0,0,0,0,28023470
2022-10-31,0,0,0,0,28023470
2022-11-01,0,0,0,0,28023470
2022-11-02,0,0,0,0,28023470
2022-11-03,0,0,0,0,28023470
2022-11-04,0,0,0,0,28023470
2022-11-05,0,0,0,0,28023470
2022-11-06,0,0,0,0,28023470
2022-11-07,0,0,0,0,28023470
2022-11-08,0,0,0,0,28023470
2022-11-09,0,0,0,0,28023470
2022-11-10,0,0,0,0,28023470
2022-11-11,0,0,0,0,28023470
2022-11-12,0,0,0,0,28023470
2022-11-13,0,0,0,0,28023470
2022-11-14,0,0,0,0,28023470
2022-11-15,0,0,0,0,28023470
2022-11-16,0,0,0,0,28023470
2022-11-17,0,0,0,0,28023470
2022-11-18,0,0,0,0,28023470
2022-11-19,0,0,0,0,28023470
2022-11-20,0,0,0,0,28023470
2022-11-21,0,0,0,0,28023470
2022-11-22,0,0,0,0,28023470
2022-11-23,0,0,0,0,28023470
2022-11-24,0,0,0,0,28023470
2022-11-25,0,0,0,0,28023470
2022-11-26,0,0,0,0,28023470
2022-11-27,0,0,0,0,28023470
2022-11-28,0,0,0,0,28023470
2022-11-29,0,0,0,0,28023470
2022-11-30,0,0,0,0,28023470
2022-12-01,0,0,0,0,28023470
2022-12-02,0,0,0,0,28023470
2022-12-03,0,0,0,0,28023470
2022-12-04,0,0,0,0,28023470
2022-12-05,0,0,0,0,28023470
2022-12-06,0,0,0,0,28023470
2022-12-07,0,0,0,0,28023470
2022-12-08,0,0,0,0,28023470
2022-12-09,0,0,0,0,28023470
2022-12-10,0,0,0,0,28023470
2022-12-11,0,0,0,0,28023470
2022-12-12,0,0,0,0,28023470
2022-12-13,0,0,0,0,28023470
2022-12-14,0,0,0,0,28023470
2022-12-15,0,0,0,0,28023470
2022-12-16,0,0,0,0,28023470
2022-12-17,0,0,0,0,28023470
2022-12-18,0,0,0,0,28023470
2022-12-19,0,0,0,0,28023470
2022-12-20,0,0,0,0,28023470
2022-12-21,0,0,0,0,28023470
2022-12-22,0,0,0,0,28023470
2022-12-23,0,0,0,0,28023470
2022-12-24,0,0,0,0,28023470
2022-12-25,0,0,0,0,28023470
2022-12-26,0,0,0,0,28023470
2022-12-27,0,0,0,0,28023470
2022-12-28,0,0,0,0,28023470
2022-12-29,0,0,0,0,28023470
2022-12-30,0,0,0,0,28023470
2022-12-31,0,0,0,0,28023470
2023-01-01,0,0,0,0,28023470
2023-01-02,0,0,0,0,28023470
2023-01-03,0,0,0,0,28023470
2023-01-04,0,0,0,0,28023470
2023-01-05,0,0,0,0,28023470
2023-01-06,0,0,0,0,28023470
2023-01-07,0,0,0,0,28023470
2023-01-08,0,0,0,0,28023470
2023-01-09,0,0,0,0,28023470
2023-01-10,0,0,0,0,28023470
2023-01-11,0,0,0,0,28023470
2023-01-12,0,0,0,0,28023470
2023-01-13,0,0,0,0,28023470
2023-01-14,0,0,0,0,28023470
2023-01-15,0,0,0,0,28023470
2023-01-16,0,0,0,0,28023470
2023-01-17,0,0,0,0,28023470
2023-01-18,0,0,0,0,28023470
2023-01-19,0,0,0,0,28023470
2023-01-20,0,0,0,0,28023470
2023-01-21,0,0,0,0,28023470
2023-01-22,0,0,0,0,28023470
2023-01-23,0,0,0,0,28023470
2023-01-24,0,0,0,0,28023470
2023-01-25,0,0,0,0,28023470
2023-01-26,0,0,0,0,28023470
2023-01-27,0,0,0,0,28023470
2023-01-28,0,0,0,0,28023470
2023-01-29,0,0,0,0,28023470
2023-01-30,0,0,0,0,28023470
2023-01-31,0,0,0,0,28023470
2023-02-01,0,0,0,0,28023470
2023-02-02,0,0,0,0,28023470
2023-02-03,0,0,0,0,28023470
2023-02-04,0,0,0,0,28023470
2023-02-05,0,0,0,0,28023470
2023-02-06,0,0,0,0,28023470
2023-02-07,0,0,0,0,28023470
2023-02-08,0,0,0,0,28023470
2023-02-09,0,0,0,0,28023470
2023-02-10,0,0,0,0,28023470
2023-02-11,0,0,0,0,28023470
2023-02-12,0,0,0,0,28023470
2023-02-13,0,0,0,0,28023470
2023-02-14,0,0,0,0,28023470
2023-02-15,0,0,0,0,28023470
2023-02-16,0,0,0,0,28023470
